,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Label
136,33,0,9,15,8,14,15,15,0,30,2,4,34,0,0,4,0
137,59,0,24,32,17,15,15,25,0,57,4,8,64,1,0,7,0
138,12,0,4,5,4,6,4,5,0,8,0,1,10,0,0,2,1
139,43,1,14,19,21,15,13,10,3,32,1,8,53,1,0,5,0
140,34,0,12,18,15,11,10,11,1,27,0,5,39,1,0,3,1
141,47,2,20,24,16,16,11,19,1,53,3,7,48,3,0,9,0
142,13,0,11,5,8,9,0,6,0,11,1,1,18,0,0,4,0
143,14,0,4,8,5,4,3,7,0,12,0,3,16,0,0,1,1
144,23,0,16,16,9,7,6,10,0,20,3,3,30,1,0,2,0
145,8,0,5,3,1,3,1,3,0,5,0,0,6,0,0,0,1
146,21,0,6,17,9,10,4,7,0,13,1,3,22,2,0,2,0
147,74,1,23,43,33,19,12,32,1,59,3,13,84,0,0,9,0
148,22,0,5,10,12,8,2,8,3,12,0,6,19,2,0,3,0
149,22,0,12,18,12,6,4,9,0,32,1,3,15,0,0,3,0
150,16,0,5,8,9,5,2,10,0,12,0,6,13,0,0,2,0
151,15,0,9,5,5,6,4,8,0,10,0,2,15,0,0,3,0
152,32,0,4,10,24,13,8,10,0,19,3,3,38,0,0,1,1
153,24,0,6,7,8,13,3,7,0,15,3,6,26,3,0,3,0
154,31,0,13,22,8,12,12,11,1,31,2,7,29,1,0,4,1
155,9,0,2,3,2,5,3,3,0,5,1,3,9,0,0,1,0
156,13,0,3,5,1,1,4,2,0,10,0,3,10,0,0,1,1
157,28,0,3,13,18,10,12,2,2,22,2,7,35,4,0,2,1
158,52,1,17,17,28,14,11,15,0,37,4,5,54,1,0,3,1
159,17,0,8,9,10,5,1,7,0,9,1,2,19,1,0,2,1
160,19,0,1,7,1,7,2,3,0,9,0,3,19,0,0,3,1
161,45,0,7,17,16,15,15,17,1,38,6,8,49,1,0,4,1
162,30,0,4,14,16,9,4,10,0,10,0,3,36,4,0,1,0
163,31,0,5,9,9,5,8,5,1,12,0,9,28,1,0,0,1
164,6,0,3,4,2,2,1,3,0,10,1,0,4,0,0,0,1
165,18,0,3,10,6,1,3,5,0,16,3,3,12,0,0,0,0
166,10,0,1,8,4,7,2,6,0,18,1,1,17,1,0,1,1
167,12,0,2,8,5,8,3,6,0,10,0,1,10,0,0,1,0
168,7,0,1,4,5,2,2,3,0,4,0,1,11,0,0,1,1
169,21,0,2,16,6,7,4,7,0,20,4,2,23,1,0,0,1
170,3,0,1,1,4,1,0,1,0,1,0,0,5,1,0,0,1
171,10,1,6,3,3,2,1,3,0,8,2,0,8,2,0,1,0
172,17,0,6,9,5,2,6,13,0,19,0,7,9,0,0,0,0
173,38,0,12,9,13,7,12,6,1,19,0,6,25,1,0,1,0
174,22,0,8,12,12,7,6,5,0,14,1,6,23,0,0,0,1
175,39,0,12,22,23,19,14,17,0,20,1,13,42,0,0,6,0
176,27,0,10,18,13,10,10,6,0,14,1,5,25,2,0,0,0
177,25,0,4,11,9,6,5,13,0,14,0,4,19,1,0,3,0
178,32,0,11,16,21,10,10,6,0,17,1,1,36,3,0,5,1
179,19,0,7,10,10,2,7,5,1,16,5,2,18,0,0,1,0
180,10,0,6,11,3,5,1,2,1,15,0,1,10,3,0,0,1
181,13,0,4,5,4,1,4,7,0,8,0,3,6,1,0,0,1
182,43,1,19,14,13,10,16,16,1,26,1,10,48,0,0,3,0
183,20,0,7,16,6,7,4,14,0,30,0,3,12,0,0,3,0
184,25,0,12,8,15,7,10,8,0,17,0,5,26,0,0,2,1
185,23,0,7,12,12,7,6,10,0,20,1,1,31,0,0,1,1
186,15,0,8,8,3,4,5,4,0,20,2,4,7,0,0,0,0
187,7,0,2,3,4,6,2,2,4,4,1,0,8,1,0,2,0
188,22,0,5,11,8,9,5,9,0,16,0,3,15,0,0,1,1
189,45,3,13,17,10,22,5,9,1,34,2,12,40,6,0,6,0
190,10,0,2,4,4,5,1,5,0,10,0,1,15,0,0,2,0
191,27,0,7,10,9,5,4,9,2,10,0,10,37,0,0,1,0
192,63,0,10,26,16,8,17,17,3,30,1,12,60,7,0,5,1
193,27,0,6,7,12,5,4,8,0,11,1,9,24,0,0,1,1
194,28,0,7,12,16,9,7,5,0,16,0,8,31,2,0,2,0
195,34,1,7,11,17,13,11,9,0,17,0,8,25,0,0,2,0
196,32,0,10,19,9,9,7,19,0,41,8,9,33,0,0,3,1
197,7,0,9,3,9,4,7,3,1,5,0,0,9,0,0,1,1
198,45,1,12,33,25,18,11,26,1,53,1,6,41,5,0,1,1
199,6,0,1,1,3,3,1,1,0,3,2,1,5,0,0,0,0
200,23,0,3,11,7,2,2,9,0,21,0,5,16,6,0,1,1
201,7,0,3,4,2,4,5,2,0,10,0,3,5,0,0,0,0
202,78,0,22,40,33,29,20,27,2,46,4,13,108,2,0,15,0
203,11,0,6,5,3,6,3,3,0,13,1,2,7,1,0,1,1
204,33,0,5,13,16,4,4,12,1,22,0,5,34,1,0,3,1
205,23,0,5,13,13,8,10,12,0,24,3,2,24,1,0,0,0
206,69,0,27,50,21,11,18,21,0,75,1,16,66,2,0,6,0
207,15,0,4,3,11,7,1,6,0,8,1,2,15,0,0,3,1
208,25,0,6,20,16,9,8,7,0,28,3,0,22,0,0,1,1
209,27,0,12,12,18,9,5,11,0,17,1,9,18,0,0,3,0
210,9,0,6,2,7,7,1,3,0,2,0,0,13,2,0,0,0
211,30,0,10,13,13,11,6,14,1,14,1,4,27,2,0,1,1
212,81,0,30,33,38,42,20,37,1,68,4,13,89,0,0,10,0
213,114,2,51,56,60,22,29,46,0,92,1,18,71,9,0,9,0
214,41,0,6,18,8,8,7,13,0,27,0,10,32,0,0,3,0
215,5,0,2,2,1,0,1,3,1,6,0,2,1,0,0,0,0
216,17,0,4,11,5,6,3,11,1,21,1,2,16,3,0,2,1
217,13,0,3,9,10,7,5,4,1,13,0,5,13,0,0,2,1
218,21,0,6,17,9,10,4,7,0,13,1,3,22,2,0,2,0
219,17,0,2,2,2,1,4,5,1,8,0,4,16,2,0,3,1
220,27,0,3,14,13,14,5,8,2,14,0,4,31,2,0,5,0
221,6,0,2,4,5,3,1,3,0,11,0,1,11,0,0,1,1
222,11,0,1,5,2,4,4,4,0,9,0,1,10,2,0,1,1
223,25,0,8,7,11,3,5,6,1,11,1,6,21,5,0,0,1
224,14,0,2,3,4,3,4,4,0,5,0,3,10,2,0,0,0
225,16,0,2,8,9,6,4,9,0,11,0,3,9,1,0,1,1
226,12,0,0,5,9,4,2,4,0,3,0,3,12,0,0,0,0
227,20,0,5,9,3,6,4,5,0,12,1,6,16,0,0,2,1
228,45,0,13,12,20,18,10,14,3,21,2,8,49,5,0,9,0
229,24,0,8,12,9,6,6,11,1,16,0,3,14,0,0,3,0
230,26,0,8,16,14,2,4,10,0,16,1,2,26,3,0,2,0
231,42,1,8,16,20,16,12,14,0,21,2,7,47,0,0,6,1
232,31,0,9,12,9,8,9,9,1,24,3,6,26,1,0,1,1
233,21,0,4,7,10,1,8,3,0,10,1,3,18,2,0,1,0
234,8,0,0,1,1,3,2,3,0,5,0,2,11,0,0,1,1
235,38,0,8,15,11,11,4,11,1,29,3,3,46,1,0,2,1
236,10,0,4,6,6,3,5,5,0,9,0,2,12,0,0,0,1
237,14,0,5,6,7,3,0,3,1,16,0,0,14,1,1,0,1
238,23,0,11,12,15,7,7,13,2,22,1,5,18,2,0,2,0
239,19,0,8,7,5,9,9,3,0,8,1,3,24,0,0,3,0
240,17,0,6,7,8,6,7,9,1,16,0,2,16,0,0,2,1
241,16,1,8,8,4,12,1,7,1,17,2,6,14,1,0,0,0
242,9,0,8,8,4,4,4,4,0,10,1,1,4,0,0,0,1
243,20,0,3,8,9,5,5,5,0,7,1,2,18,0,0,0,0
244,27,0,6,17,12,10,5,4,0,18,2,1,28,3,0,2,1
245,11,0,2,10,8,5,2,7,1,12,1,0,13,0,0,1,0
246,16,0,3,9,5,2,5,8,0,14,0,0,17,2,0,1,1
247,12,0,4,5,2,1,2,5,1,11,0,5,7,0,0,1,1
248,37,0,10,15,16,7,7,8,0,20,0,2,43,0,0,2,0
249,12,0,8,6,7,2,2,3,1,5,0,4,13,0,0,4,1
250,10,0,7,5,4,4,8,7,0,11,2,2,9,0,0,0,1
251,26,0,5,12,11,9,9,14,2,24,0,6,31,4,0,3,1
252,20,0,1,11,13,4,6,7,0,15,2,0,25,3,0,1,0
253,52,0,9,34,22,17,10,21,2,37,2,6,67,1,0,4,0
254,20,0,6,6,5,8,4,7,0,16,0,3,22,0,0,1,1
