,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Label
143,7,0,4,1,5,0,0,0,0,14,0,0,2,0,10,0,0,1
144,19,0,14,3,7,5,0,0,0,19,3,0,0,1,21,0,0,0
145,5,0,5,0,1,1,0,0,0,6,0,0,0,1,6,0,0,1
146,18,0,4,0,6,0,0,1,0,13,1,0,1,0,15,0,0,0
147,59,1,20,2,16,10,0,1,2,57,3,4,1,7,54,0,0,0
148,16,0,5,0,6,1,0,1,3,14,0,0,2,3,9,1,0,0
149,13,0,13,1,7,2,0,0,0,34,1,0,2,0,14,0,0,0
150,9,0,2,0,7,0,0,0,0,14,0,0,0,1,5,0,0,0
151,9,0,8,1,3,4,0,1,0,11,0,1,0,0,8,1,0,0
152,25,0,3,3,12,2,0,0,1,18,3,0,4,0,20,0,0,1
153,19,0,6,0,4,3,0,3,0,14,5,0,1,1,23,0,0,0
154,21,0,13,0,3,0,0,0,1,33,2,0,0,1,14,0,0,1
155,9,0,1,0,1,2,0,0,0,5,1,0,0,1,5,0,0,0
156,6,0,1,1,1,0,0,0,1,14,0,0,1,1,8,0,0,1
157,20,0,2,2,10,0,0,0,2,20,2,0,4,3,9,1,0,1
158,31,0,17,2,16,2,5,0,0,37,5,0,0,2,44,1,0,1
159,11,0,7,2,5,2,1,0,0,11,1,0,2,0,21,0,0,1
160,12,0,2,0,0,0,0,0,0,13,0,0,0,1,11,0,0,1
161,38,0,8,1,10,9,0,0,1,34,6,3,6,5,24,0,0,1
162,23,0,4,2,5,2,1,0,0,10,1,0,3,0,23,0,0,0
163,22,0,5,1,6,0,0,0,1,12,0,0,2,2,25,0,0,1
164,4,0,3,0,1,0,0,0,0,11,1,0,0,0,1,0,0,1
165,15,0,3,0,3,0,0,0,0,17,3,0,1,0,4,0,0,0
166,9,0,1,1,3,1,0,0,0,16,1,0,2,0,15,1,0,1
167,7,0,2,2,2,0,0,0,0,13,0,1,1,1,3,0,0,0
168,6,0,1,0,2,1,0,0,0,4,0,0,0,1,4,0,0,1
169,15,0,2,1,2,1,0,0,0,20,4,3,0,2,9,0,0,1
170,2,0,1,0,3,0,0,0,0,1,0,0,1,0,5,0,0,1
171,5,1,5,0,3,1,0,1,0,8,2,0,0,0,7,1,0,0
172,11,0,6,0,1,0,0,0,0,21,0,0,0,2,9,0,0,0
173,21,0,13,0,8,0,0,0,1,22,0,0,3,1,12,0,0,0
174,14,0,8,1,8,2,1,0,0,16,1,0,1,0,9,0,0,1
175,25,0,10,1,12,7,0,0,0,26,1,4,1,0,15,0,0,0
176,16,0,6,5,8,1,0,0,0,16,0,0,1,0,20,0,0,0
