,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Label
52,15,0,11,0,10,1,0,0,0,12,1,0,3,0,0,0,1
53,10,0,5,1,5,1,0,1,0,15,5,0,2,5,0,1,1
54,3,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1
55,5,0,1,0,0,1,0,0,0,5,2,1,1,0,0,0,1
56,3,0,7,1,5,0,0,0,0,11,2,0,0,0,0,0,1
57,44,0,15,1,22,2,0,0,0,37,0,0,5,0,0,2,0
58,7,0,3,1,3,1,0,0,0,11,1,0,0,0,0,0,0
59,21,0,8,0,11,1,0,0,0,29,1,0,1,3,0,1,1
60,13,0,10,0,3,0,0,1,1,19,0,0,1,0,0,0,0
61,9,0,8,2,5,0,0,1,0,18,2,0,0,0,0,0,1
62,9,0,6,1,0,1,0,0,0,17,0,0,0,0,0,0,0
63,19,0,3,1,2,2,0,0,0,37,4,0,0,0,0,0,0
64,11,0,8,1,4,0,0,0,0,21,0,0,0,0,0,1,0
65,37,1,8,4,18,3,0,2,1,41,2,1,9,0,0,0,0
66,20,0,3,0,5,0,0,0,0,17,1,0,2,0,0,0,1
67,8,0,13,3,4,1,0,0,0,6,2,1,3,1,0,0,0
68,8,0,4,1,2,0,0,0,0,6,0,0,2,0,0,1,1
69,21,0,6,4,4,3,0,0,0,20,0,1,2,0,0,0,0
70,9,0,5,1,4,0,0,0,1,10,0,0,3,0,0,0,1
71,14,0,4,0,6,2,1,0,0,21,3,0,2,0,0,1,1
72,13,0,21,0,3,2,0,1,0,22,2,1,1,0,0,2,0
73,20,1,7,2,10,2,0,1,1,32,5,0,0,0,0,0,0
74,10,0,4,0,5,0,0,0,0,7,1,0,0,0,0,0,1
75,22,0,13,3,9,3,0,1,0,21,0,1,0,0,0,0,0
76,25,0,22,1,6,2,0,0,0,32,2,0,2,3,0,0,1
77,26,0,7,1,6,3,0,0,3,27,1,0,1,4,0,0,1
78,15,0,7,0,9,2,0,0,1,10,1,0,3,0,0,1,1
79,29,0,14,2,8,1,0,0,0,20,5,0,3,0,0,0,1
80,18,0,6,0,10,1,0,0,0,23,0,0,2,5,0,0,1
81,15,1,8,0,3,5,0,0,1,14,0,4,1,2,0,1,0
82,9,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0
83,10,0,7,0,5,2,0,0,0,11,0,0,0,0,0,0,0
84,2,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,1
85,78,1,37,8,25,5,0,0,0,98,5,0,10,3,0,2,0
86,9,0,9,1,1,0,1,0,3,12,1,0,1,0,0,0,0
87,11,0,3,0,2,0,0,1,0,15,0,0,0,0,0,0,0
88,16,0,7,1,5,2,1,0,1,35,2,0,1,6,0,0,0
89,40,0,7,5,11,6,0,1,2,43,2,0,4,3,0,0,0
90,10,0,2,1,2,1,0,0,0,9,0,0,2,0,0,0,1
91,17,0,13,0,9,1,0,0,0,23,0,0,1,1,0,0,1
92,9,0,6,1,2,0,0,0,0,10,0,0,0,0,0,0,1
93,7,0,5,0,6,0,0,0,0,9,3,0,0,0,0,0,0
94,4,0,4,0,4,0,0,0,0,4,0,0,1,0,0,0,1
95,11,0,2,0,4,1,0,0,0,7,2,0,0,0,0,1,1
96,10,0,5,0,7,1,0,0,1,13,0,0,1,0,0,0,0
97,9,1,8,0,5,0,0,0,0,10,2,0,1,0,0,0,0
98,65,0,25,2,34,5,0,3,1,76,6,0,5,4,0,1,0
99,31,0,11,4,10,3,0,1,2,46,0,0,3,0,0,0,1
100,8,0,5,1,1,2,0,0,0,18,0,0,1,0,0,0,1
101,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1
102,2,0,2,0,1,0,0,1,0,6,1,0,0,0,0,0,0
103,13,0,11,0,4,1,0,1,0,21,0,0,2,1,0,0,1
104,20,0,7,4,9,1,0,0,0,28,2,0,0,0,0,1,1
105,7,0,0,0,1,0,0,0,0,6,0,0,0,2,0,0,0
106,9,0,7,0,3,1,0,0,0,14,1,0,0,0,0,0,0
107,34,0,8,2,7,6,0,0,0,29,1,3,5,0,0,1,1
108,19,0,6,2,5,1,0,0,1,22,0,0,2,0,0,0,0
109,24,0,5,2,5,0,0,1,1,23,2,1,1,1,0,1,1
110,24,0,9,0,3,5,0,0,1,21,0,0,3,0,0,0,0
111,18,0,5,0,6,3,0,0,0,20,1,1,0,2,0,0,1
112,8,0,7,1,7,1,0,1,0,17,1,0,0,0,0,0,0
113,19,0,7,2,3,7,0,0,1,16,1,2,2,7,0,1,1
114,21,0,8,3,14,1,0,1,1,26,0,0,3,0,0,0,0
115,18,0,9,0,6,0,0,0,0,14,0,0,4,0,0,0,0
116,4,0,7,0,1,0,0,0,0,5,0,0,0,2,0,1,1
117,6,0,3,1,2,0,0,0,0,7,0,0,1,0,0,1,1
118,27,0,10,1,14,2,0,1,0,36,1,0,1,0,0,0,1
119,13,0,4,0,4,2,0,0,1,18,1,0,1,0,0,0,1
120,10,0,7,0,6,1,0,0,0,23,0,0,1,0,0,0,0
121,18,0,9,3,4,1,0,1,0,13,3,0,0,0,0,0,1
122,21,0,8,1,7,2,0,0,0,13,1,0,2,0,0,0,0
123,22,0,10,2,8,1,0,1,0,27,1,0,2,0,0,0,1
